Keywords,area,sqft,bedroom,bath,name,property type,completion year,no of floors,Furnishing Status,Number of Carpark,Floor Range,Deposit,Tenant Preference,PropertyID,Squash Court,Lift,Near KTM/LRT,Railway Station,Air-Cond,Security,Swimming Pool,School,Minimart,Cooking Allowed,Mall,Parking,Washing Machine,Gymnasium,Playground,Multipurpose hall,Park,Jogging Track,Tennis Court,Internet,Sauna,Barbeque area,area_sqft_numeric,cleaned_location,powerbi_location,State_Province,Country
"RM 3,300 per month",Wangsa Maju,"2,400",,,wangsa setia 1 facing mainroad office lot . level 2and 3 .actual photo,Office space,,,Not Stated,,Not Stated,,Male,112972743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,000 per month",Tulin Apartment,820,3,2,Tulin Apartment for Rent. Live Comfortably in a Prime Location.,,,,Not Stated,,Not Stated,,Female,112972741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,Old Klang Road,"Old Klang Road, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,200 per month",Laman Damai Kepong (Li Garden),650,3,2,"Laman damai kepong Nearby To Aeon & MRT, KTM Kepong",,,,Not Stated,,Not Stated,,"Male, Female",112972565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,Kepong,"Kepong, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,200 per month",Prima Midah Heights,"1,461",4,2,Prima Midah Heights Cheras | Taman Midah Corner Condo with great view,,,,Not Stated,,Not Stated,,Male,112825468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1461,Cheras,"Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,350 per month",KL Traders Square Residences,842,3,2,KL Traders Square KLST Condo Fully Setapak Kenwingston Platz 2 CarPark,,,,Not Stated,,Not Stated,,Male,112674642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,200 per month",Sunway Belfield,797,2,2,FULLY FURNISHED 💥 Sunway Belfield Residence Jalan Maharajalela KL,,,,Not Stated,,Not Stated,,"Male, Female, Couple",112972701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 600 per month,Pandan Indah,150,,,Pandan Villa condominium Master and Middle Female room,,,,Not Stated,,Not Stated,,"Male, Female",108732045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 770 per month,Maxim Residences,"1,300",1,1,Maxim Residence medium room rent,,,,Not Stated,,Not Stated,,Male,112972679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1300,Cheras,"Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,250 per month",Verve Suites @ Mont Kiara,932,2,2,[FULLY FURNISHED] Verve Suites Mont Kiara near Inspirasi TWY Arcoris,,,,Not Stated,,Not Stated,,"Male, Female, Couple",112972376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,932,Mont Kiara,"Mont Kiara, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,750 per month",Sky Awani Residensi 3,800,3,2,"Sky Awani 3, Reno, Partly Furnished, air panas, sri rampai, setapak",,,,Not Stated,,Not Stated,,Male,112759562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
